person_uuid,org_uuid,job_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
000d67ea-22f2-f543-f29b-9275f1f402ce,56765be2-a789-8a83-1166-919cbe695d2e,effad694-4ac1-d6c6-092d-ecefe18953f7,2017-04-01 00:00:00,,t,Chief Innovation Officer,t,f,f
000cccf4-a3ad-0765-3bec-0248d6b77977,b7d10a9c-73cc-ae66-b99e-52187aa12fd8,62cd338d-2220-382a-b241-3092d6e3e03d,2016-08-01 00:00:00,,t,Marketing Manager,t,t,f
000961c0-5d9a-b4ed-2506-da52459d8a98,6437e49b-b5fc-a89d-f9cf-c75e8362abe3,f8fc29aa-e7f5-633e-eb63-6d3645201fb6,,,t,Venture Partner,t,t,f
0005da7e-2311-9002-7756-ed2f2734e057,2aec3826-0f75-1f21-326a-5dbca9d5ff15,81c7872a-25fa-2930-b8c8-cd622580f24b,2011-01-01 00:00:00,2013-02-01 00:00:00,f,Founder,t,t,f
0005da7e-2311-9002-7756-ed2f2734e057,bd4c4326-ef34-d5d9-b689-0c0b0a6ba03c,b5b88eea-7890-c860-2cde-bc671b744443,2015-01-01 00:00:00,,t,Founder,t,t,f
000bdbcb-1957-8d32-0a3b-f8925688eeb7,530b46f8-76db-0a8e-9eba-4d62a3ad7b48,93642b68-3daf-c78e-dd04-4380cbcb410e,2015-12-01 00:00:00,,t,Software Engineer,t,f,f
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,1d71ad38-cb0f-e23c-6f7d-69a32e7b2010,fb61b0b3-123f-ff9c-0405-84dc7a5da685,2014-08-01 00:00:00,2016-09-30 00:00:00,f,CTO,t,t,f
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,feceeac2-a0a6-3487-dde4-537fc30cc6f0,0abd9369-ac18-7de8-6d43-5c6f61756d12,2016-10-03 00:00:00,,t,Head of Technology,t,f,f
0002a89a-8770-994b-7de3-c1c6924bf6ce,4ca8c1b5-59e2-f99b-6714-fbcc37803bb6,569216d2-73a1-cd41-6557-3c786b463cfb,2016-05-01 00:00:00,,t,Customer Development / Designer,t,f,f
000b0575-8e34-adf7-3d72-ec4fbd324a85,7e7190a0-ec35-47f3-5c0f-6af756b95d5f,68401d70-9f68-63f9-ba4b-b402006e7212,2015-01-01 00:00:00,,t,Investment Manager,t,t,f
000cdf70-5946-10c7-8188-f0d506e7e70e,24582bb6-dad5-f255-9307-a92a600ddbe3,82e13b75-d426-89db-96e0-d4bae78fed63,2011-09-01 00:00:00,,t,Co-founder,t,t,f
00016334-9af9-1bae-0737-b5c0e906fcad,bcfcc3bb-a92e-c787-1611-cb2df62e470d,ff3c564b-86f5-850a-182c-e6dcaed56450,2014-06-01 00:00:00,,t,Member of the Board of Directors,f,f,t
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,43ca8243-bd74-dd95-e9f4-4817ecc8ca79,7d349932-c302-afef-5080-9f48c06d632f,,,f,Senior Vice President of Engineering,t,f,f
000792fb-3022-cac3-eea5-a93a49150727,5feb6981-348c-dfc0-0504-dcfe73a331ce,dc0790d9-7d04-8ead-fb89-72a6c4e1b8a2,2014-07-01 00:00:00,2014-12-01 00:00:00,f,Senior Software Engineer,t,f,f
000792fb-3022-cac3-eea5-a93a49150727,7b224a36-b7b4-d02f-bf76-b4ac9ba085ca,bfc73171-162d-0b1c-f284-18516a1a8492,2016-01-01 00:00:00,,t,Co-founder,t,t,f
000609f8-4dee-8b88-fdab-8e506d84dd8a,0ab195f1-63be-606a-ad37-76cce3e2455d,c3cea1d6-71f5-578d-d2b1-e6376a07b0c6,2014-09-02 00:00:00,2016-04-22 00:00:00,f,Analyst,t,f,f
000609f8-4dee-8b88-fdab-8e506d84dd8a,ad89cfd0-2839-e404-a62e-72605d4d22b2,ff26432c-0ef7-bdd6-b71e-e74d9293d36e,2016-05-02 00:00:00,,t,Investor,t,f,f
000de2ac-9ee6-42b0-0a58-a39cfa146e3f,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,30e37725-bb0b-07e6-66c3-0d13ee79133b,2002-01-01 00:00:00,,f,Senior Vice President,t,f,f
000de2ac-9ee6-42b0-0a58-a39cfa146e3f,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,45baa4a4-b82e-4c0d-3f0c-ec58ed0a3133,1985-01-01 00:00:00,,f,Team Member,t,f,f
000de2ac-9ee6-42b0-0a58-a39cfa146e3f,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,02d8878b-dec7-9803-6890-a3ff73034230,,,t,"Executive Vice President, International",t,f,f
00086acf-adf2-b9cc-e600-442bfba4412d,fcf35538-c297-85aa-4fd8-230d4a64125a,d2829c47-bbe1-8b54-ca90-9d56373dfeb1,2016-04-13 00:00:00,,t,Founder,t,t,f
000497ac-d3f9-7969-6c8b-b4050c8efc04,e4190d28-8c00-ce91-aa14-7958c58e25c7,5719e3a1-d104-1dce-3f3f-0b93468f399e,2015-06-01 00:00:00,,t,Co-Founder & CEO,t,t,f
